Date,Price,Pid,Property_name,Area,Address,Neighboorhood
1/22/2021,60000000,G3057,4 bedroom Duplex for sale Monastery road Sangotedo Lagos,Sangotedo road,fountain spring state Monastery Road Sangotedo Lagos,Sangotedo
1/22/2021,31500000,G3056,Land for sale Monastery road Sangotedo Lagos,Sangotedo road,diamond estate lekki Monastery Road Sangotedo Lagos,Sangotedo
1/22/2021,25000000,G3054,3 bedroom Duplex for sale Opic estate Isheri North Ojodu Lagos,Ojo North,Berger Opic estate Isheri North Ojodu Lagos,Ojo
1/22/2021,65000000,G3053,4 bedroom House for sale Monastery road Sangotedo Lagos,Sangotedo road,monastery road sangotedo lekki Lagos. Monastery Road Sangotedo Lagos,Sangotedo
1/22/2021,72000000,G3050,4 bedroom Duplex for sale Monastery road Sangotedo Lagos,Sangotedo road,Royal palm viilar estate Monastery Road Sangotedo Lagos,Sangotedo
1/22/2021,50000000,G3047,4 bedroom Duplex for sale Akinwumi North CDA Mende Maryland Lagos,Maryland Mende,"Richard court, Akinwumi North CDA, Ebun Otti, Maryland Akinwumi North CDA Mende Maryland Lagos",Maryland
1/22/2021,160000000,G3044,4 bedroom Duplex for sale Magodo-Shangisha Kosofe/Ikosi Lagos,Kosofe Kosofe,Magodo Shangisha Estate Magodo Shangisha Kosofe Ikosi Lagos,Kosofe
1/22/2021,80000000,G3031,5 bedroom Flat / Apartment for sale Ilupeju industrial estate Ilupeju Lagos,Ilupeju estate,Ilupeju Estate Ilupeju Industrial Estate Ilupeju Lagos,Ilupeju
1/22/2021,16000000,G3029,2 bedroom House for sale Abijo Ajah Lagos,Ajah Abijo,Oasis Garden Abijo Ajah Lagos,Ajah
1/22/2021,90000000,G3016,Land for sale Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"Aruna Bus-stop, Very Close To Diamond Bank, Ikorodu, Lagos Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,90000000,G3014,4 bedroom Duplex for sale Millenuim/UPS Gbagada Lagos,Gbagada UPS,Oke alo estate Millenuim Ups Gbagada Lagos,Gbagada
1/22/2021,160000000,G2989,4 bedroom Duplex for sale Ikoyi S.W Ikoyi Lagos,Ikoyi W,IKOYI Ikoyi S.w Ikoyi Lagos,Ikoyi
1/22/2021,75000000,F9172,Land for sale Behind Shopright Sangotedo Monastery road Sangotedo Lagos,Ojo road,Chife Ojo street Behind Shopright Sangotedo Monastery Road Sangotedo Lagos,Ojo
1/22/2021,120000000,G2951,4 bedroom House for sale Lekki Phase 1 Lekki Lagos,Lekki Phase,lekki Lekki Phase 1 Lekki Lagos,Lekki
1/22/2021,15000000,G2935,Land for sale IJEGUN EGBA Satellite Town Amuwo Odofin Lagos,Amuwo-Odofin Amuwo,DEPOT ROAD IJEGUN EGBA Satellite Town Amuwo-Odofin Lagos,Amuwo-Odofin
1/22/2021,12000000,G2933,600.0 square meter Land for sale Monastery road Sangotedo Lagos,Sangotedo road,Off Monastery road Monastery Road Sangotedo Lagos,Sangotedo
1/22/2021,3000000,G2929,324.0 square meter Land for sale Bucknor Isolo Lagos,Isolo Bucknor,Off Bucknor Road Bucknor Isolo Lagos,Isolo
1/22/2021,3500000,G2927,648.0 square meter Land for sale Bucknor Isolo Lagos,Isolo Bucknor,Off Bucknor Road Bucknor Isolo Lagos,Isolo
1/22/2021,20000000,G2926,Land for sale Grammar school Berger Ojodu Lagos,Ojo Berger,Ojodu abiodun Grammar school Berger Ojodu Lagos,Ojo
1/22/2021,10000000,G2924,10 bedroom Bungalow for sale Shaga Ifako-ogba Ogba Lagos,Ogba ogba,Station bustop Shaga Ifako Ogba Ogba Lagos,Ogba
1/22/2021,45000000,G2911,Land for sale Berger Ojodu Lagos,Ojo Berger,Adeoni Estate Berger Ojodu Lagos,Ojo
1/22/2021,600000,G2899,Land for sale Abijo Ajah Lagos,Ajah Abijo,Abijo GRA Abijo Ajah Lagos,Ajah
1/22/2021,25000000,G2898,3 bedroom Flat / Apartment for sale Agura Ijede Ikorodu Lagos,Ikorodu Ijede,Agura Agura Ijede Ikorodu Lagos,Ikorodu
1/22/2021,85000000,G2874,4 bedroom Duplex for sale Ogudu GRA Ogudu Lagos,Ogudu GRA,Ogudu G.R.A pako Ogudu Gra Ogudu Lagos,Ogudu
1/22/2021,65000000,G2872,4 bedroom Duplex for sale Ogudu GRA Ogudu Lagos,Ogudu GRA,Ogudu GRA by Ramat. Ogudu Gra Ogudu Lagos,Ogudu
1/22/2021,75000000,G2868,4 bedroom Duplex for sale Ogudu GRA Ogudu Lagos,Ogudu GRA,Ogudu G.R.A pako Ogudu Gra Ogudu Lagos,Ogudu
1/22/2021,1350000,G2863,600.0 square meter Land for sale By the new international airport Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,Oriba express By the new international airport Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,4050000,G2862,600.0 square meter Land for sale Awoyaya LBS Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,Beside mayfair garden estate Awoyaya Lbs Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,3150000,G2860,600.0 square meter Land for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,By the free trade zone Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,45000000,G2859,3 bedroom Flat / Apartment for sale Jakande Lekki Lagos,Lekki Jakande,OPP SHOPRITE Jakande Lekki Lagos,Lekki
1/22/2021,9000000,G1060,658.0 square meter Land for sale Lekki Gardens estate Ajah Lagos,Lekki estate,"Beside Lekki Gardens Phase 4, Sangotedo. Ajah Lekki Gardens Estate Ajah Lagos",Lekki
1/22/2021,8000000,G0161,648.0 square meter Land for sale Abraham adesanya estate Ajah Lagos,Ajah estate,"Okun-Ajah, near Atican and Santa Cruz Beaches Abraham Adesanya Estate Ajah Lagos",Ajah
1/22/2021,9000000,G2491,658.0 square meter Land for sale Ojo Ojo Lagos,Ojo Ojo,"Back of Trade Fair Complex, by Abulado Road Ojo Ojo Lagos",Ojo
1/22/2021,300000,"30,G1451",Land for sale Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"At odo-iselu, agbowa Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,15000000,F2475,3 bedroom Flat / Apartment for sale Ogijo Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"At Plot 23, 2nd Avenue Abafon Quarters , Church Bus Stop. Ogijo Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,18500000,G2850,"4 bedroom Duplex for sale Abraham Adesanya, Roundabout. Off Lekki-Epe Expressway Ajah Lagos",Lekki Expressway,"General Paint Bus-stop, Beside Edegbe Transport Abraham Adesanya, Roundabout. Off Lekki Epe Expressway Ajah Lagos",Lekki
1/22/2021,60000000,G2838,5 bedroom Duplex for sale Lekki Phase 2 Lekki Lagos,Lekki Phase,lekki Lekki Phase 2 Lekki Lagos,Lekki
1/22/2021,60000000,G2829,3 bedroom Flat / Apartment for sale Ajao Estate Isolo Lagos,Isolo Estate,Anthony Ajao Estate Isolo Lagos,Isolo
1/22/2021,70000000,F9287,4 bedroom Duplex for sale Behind Alade market Allen Avenue Ikeja Lagos,Ikeja Avenue,"Notable close, by Ikeja Medical Center Behind Alade market Allen Avenue Ikeja Lagos",Ikeja
1/22/2021,3500000,G2811,"670.0 square meter Land for sale Dada Bakare, Abijo Ajah Lagos",Ajah Abijo,"Opposite Abijo GRA/RainOil Filling station junction Dada Bakare, Abijo Ajah Lagos",Ajah
1/22/2021,15000000,E4939,2 bedroom Flat / Apartment for sale Last bus stop Ago palace Okota Lagos,Okota palace,Nwachukwu Last bus stop Ago Palace Okota Lagos,Okota
1/22/2021,360000000,"2470,F8652",2470.0 square meter Land for sale Maroko Ligali Ayorinde Victoria Island Lagos,VI Victoria,Femi sule Maroko Ligali Ayorinde VI Lagos,VI
1/22/2021,90000000,F8975,5 bedroom Duplex for sale Chevi View Estate chevron Lekki Lagos,Lekki chevron,Thomas O Chevi View Estate Chevron Lekki Lagos,Lekki
1/22/2021,36000000,F6530,4 bedroom Duplex for sale Eleganza chevron Lekki Lagos,Lekki chevron,Lafiaji by eleganza Eleganza Chevron Lekki Lagos,Lekki
1/22/2021,42000000,"30,F9672",3 bedroom Flat / Apartment for sale Ajiran Agungi Lekki Lagos,Lekki Agungi,Osapa London Extension Ajiran Agungi Lekki Lagos,Lekki
1/22/2021,49000000,"700,G0298",700.0 square meter Land for sale Pinnock Estate Osapa london Lekki Lagos,Lekki london,Beach Resort Pinnock Estate Osapa London Lekki Lagos,Lekki
1/22/2021,15000000,G1409,10 bedroom Flat / Apartment for sale Isashi Badagry Badagry Lagos,Badagry Badagry,"Isashi, off Badagry Express Way Isashi Badagry Badagry Lagos",Badagry
1/22/2021,50000000,G2777,3 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,Sangotedo Sangotedo,Happyland Estate Sangotedo Ajah Lagos,Sangotedo
1/22/2021,30000000,G2250,Land for sale Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"Beside wema bank ijede, Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,17000000,G1541,Flat / Apartment for sale Jumofak Ikorodu Lagos,Ikorodu Jumofak,"AT MOBOLAJI BENSON, SAME STREET WITH CCC SHARON PARISH. Jumofak Ikorodu Lagos",Ikorodu
1/22/2021,2000000,"10,G1449",Land for sale Ijede Ikorodu Lagos,Ikorodu Ijede,"At osota, elepe Ijede Ikorodu Lagos",Ikorodu
1/22/2021,200000000,G1309,Commercial Property for sale Ipakodo Ikorodu Lagos,Ikorodu Ipakodo,"At Ipakodo Road, before Dangote and Nigerian Ports Authority. Ipakodo Ikorodu Lagos",Ikorodu
1/22/2021,1600000,"250,G1265",Land for sale Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,"AT ELERAN IGBE, BY THE INTERNATIONAL AIRPORT, AND DANGOTE REFINERY. TITLE: GOVERNMENT GAZETTE Eleranigbe Ibeju-Lekki Lagos",Ibeju-Lekki
1/22/2021,37000000,G1836,7 bedroom Duplex for sale Owutu Agric Ikorodu Lagos,Ikorodu Agric,"At Ijeda Street, Off Adeola Street. Owutu Agric Ikorodu Lagos",Ikorodu
1/22/2021,1000000,G1725,Land for sale Eleko Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,Kayetoro Eleko Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,200000000,G1303,Commercial Property for sale Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"Ijede Road, Itamaga. Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,55000000,G1240,7 bedroom Duplex for sale Owutu Agric Ikorodu Lagos,Ikorodu Agric,"At Ijeda Street, Off Adeola Street. Owutu Agric Ikorodu Lagos",Ikorodu
1/22/2021,350000000,"46,G1426",10 bedroom Commercial Property for sale Osolo way Isolo Lagos,Isolo way,At Ago-Palace Osolo Way Isolo Lagos,Isolo
1/22/2021,35000000,G2645,2 bedroom Flat / Apartment for sale Itire Surulere Lagos,Surulere Itire,itire Itire Surulere Lagos,Surulere
1/22/2021,700000,"20,G2609",Land for sale Epe Road Epe Lagos,Epe Road,Moforija Epe Road Epe Lagos,Epe
1/22/2021,65000000,"700,G1438",Commercial Property for sale Akowonjo Alimosho Lagos,Alimosho Akowonjo,At Shasha Akowonjo Alimosho Lagos,Alimosho
1/22/2021,27000000,"24,G1302",3 bedroom Flat / Apartment for sale Ikota Lekki Lagos,Lekki Ikota,"In an estate at Ikota, next to Eleganza. Ikota Lekki Lagos",Lekki
1/22/2021,18000000,G1837,Land for sale Agric Ikorodu Lagos,Ikorodu Agric,"At Ijeda Street, Off Adeola Street. Agric Ikorodu Lagos",Ikorodu
1/22/2021,450000,G1443,Land for sale Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,"At iradelu, imota. Ikorodu Ikorodu Lagos",Ikorodu
1/22/2021,600000000,G2763,3700.0 square meter Land for sale Admiralty way Lekki Phase 1 Lekki Lagos,Lekki Phase,Esther adeleke Admiralty way Lekki Phase 1 Lekki Lagos,Lekki
1/22/2021,200000,G2762,9000.0 square meter Land for sale lekki epe express way Lekki Phase 2 Lekki Lagos,Lekki Phase,lekki lekki epe express way Lekki Phase 2 Lekki Lagos,Lekki
1/22/2021,4000000,G2761,350.0 square meter Land for sale Baruwa Ipaja Lagos,Ipaja Baruwa,Baruwa Ipaja Lagos Baruwa Ipaja Lagos,Ipaja
1/22/2021,3000000,G2760,270.0 square meter Land for sale Baruwa Ipaja Lagos,Ipaja Baruwa,Peace Estate baruwa Ipaja Lagos Baruwa Ipaja Lagos,Ipaja
